date,platform,source,campaign,spend,impressions,clicks,platform_conversions
2025-01-01,Google Ads,Google Ads,Search | Interior Painting,182.21,361,25,1
2025-01-08,Meta,Facebook Ads,Meta | Home Refresh,135.79,3405,60,3
2025-01-08,Meta,Facebook Ads,Meta | Free Estimate,130.53,2805,62,2
2025-01-09,Google Ads,Google Ads,Search | Interior Painting,78.0,172,11,0
2025-01-09,Google Ads,Google Ads,Search | Exterior Painting,101.18,178,12,0
2025-01-09,Google Ads,Google Ads,Search | Cabinet Painting,145.41,306,23,1
2025-01-09,Google Ads,Google Ads,Search | Drywall Repair,55.68,137,9,0
2025-01-09,Google Ads,Google Ads,Search | Minor Remodeling,187.58,323,18,0
2025-01-09,Meta,Facebook Ads,Meta | Home Refresh,92.95,2329,39,0
2025-01-09,Meta,Facebook Ads,Meta | Free Estimate,100.19,2456,45,2
2025-01-10,Google Ads,Google Ads,Search | Interior Painting,236.32,490,31,1
2025-01-10,Google Ads,Google Ads,Search | Exterior Painting,151.0,297,18,1
2025-01-10,Google Ads,Google Ads,Search | Cabinet Painting,18.78,45,3,0
2025-01-10,Google Ads,Google Ads,Search | Drywall Repair,169.32,444,29,2
2025-01-10,Google Ads,Google Ads,Search | Minor Remodeling,32.05,75,4,0
2025-01-10,Meta,Facebook Ads,Meta | Home Refresh,22.33,492,9,0
2025-01-10,Meta,Facebook Ads,Meta | Free Estimate,56.19,1251,29,1
2025-01-11,Google Ads,Google Ads,Search | Interior Painting,42.48,73,5,0
2025-01-11,Google Ads,Google Ads,Search | Exterior Painting,217.37,404,26,2
2025-01-11,Google Ads,Google Ads,Search | Cabinet Painting,127.72,236,17,1
2025-01-11,Google Ads,Google Ads,Search | Drywall Repair,78.24,209,14,1
2025-01-11,Google Ads,Google Ads,Search | Minor Remodeling,74.65,131,7,0
2025-01-11,Meta,Facebook Ads,Meta | Home Refresh,84.44,1582,30,1
2025-01-11,Meta,Facebook Ads,Meta | Free Estimate,46.88,1022,22,1
2025-01-12,Google Ads,Google Ads,Search | Interior Painting,147.33,322,22,1
2025-01-12,Google Ads,Google Ads,Search | Exterior Painting,209.89,470,30,1
2025-01-12,Google Ads,Google Ads,Search | Cabinet Painting,52.34,110,8,0
2025-01-12,Google Ads,Google Ads,Search | Drywall Repair,70.99,195,14,2
2025-01-12,Google Ads,Google Ads,Search | Minor Remodeling,70.41,146,8,0
2025-01-12,Meta,Facebook Ads,Meta | Home Refresh,34.87,881,14,0
2025-01-12,Meta,Facebook Ads,Meta | Free Estimate,122.05,2657,59,4
2025-01-13,Google Ads,Google Ads,Search | Interior Painting,375.96,721,51,4
2025-01-13,Google Ads,Google Ads,Search | Exterior Painting,336.82,850,46,3
2025-01-13,Google Ads,Google Ads,Search | Cabinet Painting,24.68,58,4,0
2025-01-13,Google Ads,Google Ads,Search | Drywall Repair,20.89,51,3,0
2025-01-13,Google Ads,Google Ads,Search | Minor Remodeling,5.0,17,1,0
2025-01-13,Meta,Facebook Ads,Meta | Home Refresh,151.29,3255,57,2
2025-01-13,Meta,Facebook Ads,Meta | Free Estimate,11.1,229,5,0
2025-01-14,Google Ads,Google Ads,Search | Interior Painting,221.7,463,32,2
2025-01-14,Google Ads,Google Ads,Search | Exterior Painting,32.59,64,4,0
2025-01-14,Google Ads,Google Ads,Search | Cabinet Painting,12.78,34,2,0
2025-01-14,Google Ads,Google Ads,Search | Drywall Repair,240.74,642,43,2
2025-01-14,Google Ads,Google Ads,Search | Minor Remodeling,49.74,94,5,0
2025-01-14,Meta,Facebook Ads,Meta | Home Refresh,100.35,1954,35,1
2025-01-14,Meta,Facebook Ads,Meta | Free Estimate,96.74,2459,44,0
2025-01-15,Google Ads,Google Ads,Search | Interior Painting,206.81,393,25,2
2025-01-15,Google Ads,Google Ads,Search | Exterior Painting,94.35,164,12,1
2025-01-15,Google Ads,Google Ads,Search | Cabinet Painting,87.57,196,13,1
2025-01-15,Google Ads,Google Ads,Search | Drywall Repair,17.35,43,3,0
2025-01-15,Google Ads,Google Ads,Search | Minor Remodeling,47.67,112,6,0
2025-01-15,Meta,Facebook Ads,Meta | Home Refresh,42.27,1026,17,0
2025-01-15,Meta,Facebook Ads,Meta | Free Estimate,186.93,3841,76,3
2025-01-16,Google Ads,Google Ads,Search | Interior Painting,241.42,567,36,2
2025-01-16,Google Ads,Google Ads,Search | Exterior Painting,121.44,290,19,1
2025-01-16,Google Ads,Google Ads,Search | Cabinet Painting,9.34,17,1,0
2025-01-16,Google Ads,Google Ads,Search | Drywall Repair,112.31,346,21,1
2025-01-16,Google Ads,Google Ads,Search | Minor Remodeling,5.0,17,1,0
2025-01-16,Meta,Facebook Ads,Meta | Home Refresh,290.52,4709,80,4
2025-01-16,Meta,Facebook Ads,Meta | Free Estimate,92.74,2630,51,1
2025-01-17,Google Ads,Google Ads,Search | Interior Painting,101.42,277,16,1
2025-01-17,Google Ads,Google Ads,Search | Exterior Painting,187.07,409,24,2
2025-01-17,Google Ads,Google Ads,Search | Cabinet Painting,370.49,835,57,4
2025-01-17,Google Ads,Google Ads,Search | Drywall Repair,144.16,360,26,1
2025-01-17,Google Ads,Google Ads,Search | Minor Remodeling,139.34,250,12,1
2025-01-17,Meta,Facebook Ads,Meta | Home Refresh,98.1,2149,35,1
2025-01-17,Meta,Facebook Ads,Meta | Free Estimate,78.14,1855,34,1
2025-01-18,Google Ads,Google Ads,Search | Interior Painting,116.59,227,16,1
2025-01-18,Google Ads,Google Ads,Search | Exterior Painting,170.79,364,23,1
2025-01-18,Google Ads,Google Ads,Search | Cabinet Painting,9.62,26,2,0
2025-01-18,Google Ads,Google Ads,Search | Drywall Repair,21.08,54,4,0
2025-01-18,Google Ads,Google Ads,Search | Minor Remodeling,86.45,197,10,0
2025-01-18,Meta,Facebook Ads,Meta | Home Refresh,62.0,1563,27,1
2025-01-18,Meta,Facebook Ads,Meta | Free Estimate,206.0,4641,98,4
2025-01-19,Google Ads,Google Ads,Search | Interior Painting,189.75,433,29,1
2025-01-19,Google Ads,Google Ads,Search | Exterior Painting,8.22,16,1,0
2025-01-19,Google Ads,Google Ads,Search | Cabinet Painting,97.03,253,17,1
2025-01-19,Google Ads,Google Ads,Search | Drywall Repair,74.63,180,12,1
2025-01-19,Google Ads,Google Ads,Search | Minor Remodeling,20.58,37,2,0
2025-01-19,Meta,Facebook Ads,Meta | Home Refresh,5.0,127,2,0
2025-01-19,Meta,Facebook Ads,Meta | Free Estimate,50.86,1311,24,1
2025-01-20,Google Ads,Google Ads,Search | Interior Painting,124.15,320,20,1
2025-01-20,Google Ads,Google Ads,Search | Exterior Painting,128.81,288,16,1
2025-01-20,Google Ads,Google Ads,Search | Cabinet Painting,28.27,85,5,0
2025-01-20,Google Ads,Google Ads,Search | Drywall Repair,86.87,207,14,1
2025-01-20,Google Ads,Google Ads,Search | Minor Remodeling,5.0,19,1,0
2025-01-20,Meta,Facebook Ads,Meta | Home Refresh,7.02,120,2,0
2025-01-20,Meta,Facebook Ads,Meta | Free Estimate,45.49,928,21,0
2025-01-21,Google Ads,Google Ads,Search | Interior Painting,101.74,213,15,1
2025-01-21,Google Ads,Google Ads,Search | Exterior Painting,249.32,507,29,2
2025-01-21,Google Ads,Google Ads,Search | Cabinet Painting,181.49,476,28,2
2025-01-21,Google Ads,Google Ads,Search | Drywall Repair,36.51,75,5,0
2025-01-21,Google Ads,Google Ads,Search | Minor Remodeling,37.83,82,4,0
2025-01-21,Meta,Facebook Ads,Meta | Home Refresh,126.39,2754,47,1
2025-01-21,Meta,Facebook Ads,Meta | Free Estimate,166.91,4030,83,4
2025-01-22,Google Ads,Google Ads,Search | Interior Painting,5.0,15,1,0
2025-01-22,Google Ads,Google Ads,Search | Exterior Painting,116.2,260,14,1
2025-01-22,Google Ads,Google Ads,Search | Cabinet Painting,68.79,148,10,1
2025-01-22,Google Ads,Google Ads,Search | Drywall Repair,94.9,219,14,1
2025-01-22,Google Ads,Google Ads,Search | Minor Remodeling,185.61,453,22,1
2025-01-22,Meta,Facebook Ads,Meta | Home Refresh,71.85,1742,28,0
2025-01-22,Meta,Facebook Ads,Meta | Free Estimate,21.43,482,10,0
2025-01-23,Google Ads,Google Ads,Search | Interior Painting,206.81,556,35,2
2025-01-23,Google Ads,Google Ads,Search | Exterior Painting,167.65,346,21,1
2025-01-23,Google Ads,Google Ads,Search | Cabinet Painting,13.61,32,2,0
2025-01-23,Google Ads,Google Ads,Search | Drywall Repair,53.85,158,11,1
2025-01-23,Google Ads,Google Ads,Search | Minor Remodeling,24.23,61,3,0
2025-01-23,Meta,Facebook Ads,Meta | Home Refresh,69.83,1484,25,1
2025-01-23,Meta,Facebook Ads,Meta | Free Estimate,66.62,1544,31,1
2025-01-24,Google Ads,Google Ads,Search | Interior Painting,81.19,168,11,0
2025-01-24,Google Ads,Google Ads,Search | Exterior Painting,5.0,17,1,0
2025-01-24,Google Ads,Google Ads,Search | Cabinet Painting,44.08,120,7,1
2025-01-24,Google Ads,Google Ads,Search | Drywall Repair,52.99,156,11,0
2025-01-24,Google Ads,Google Ads,Search | Minor Remodeling,243.14,410,26,2
2025-01-24,Meta,Facebook Ads,Meta | Home Refresh,99.58,1942,36,1
2025-01-24,Meta,Facebook Ads,Meta | Free Estimate,195.96,3427,84,2
2025-01-25,Google Ads,Google Ads,Search | Interior Painting,291.46,693,41,3
2025-01-25,Google Ads,Google Ads,Search | Exterior Painting,184.69,347,21,1
2025-01-25,Google Ads,Google Ads,Search | Cabinet Painting,136.46,280,19,1
2025-01-25,Google Ads,Google Ads,Search | Drywall Repair,5.0,14,1,0
2025-01-25,Google Ads,Google Ads,Search | Minor Remodeling,162.84,314,17,1
2025-01-25,Meta,Facebook Ads,Meta | Home Refresh,185.14,4083,74,2
2025-01-25,Meta,Facebook Ads,Meta | Free Estimate,5.0,87,2,0
2025-01-26,Google Ads,Google Ads,Search | Interior Painting,25.16,58,4,0
2025-01-26,Google Ads,Google Ads,Search | Exterior Painting,34.37,71,4,0
2025-01-26,Google Ads,Google Ads,Search | Cabinet Painting,41.49,109,7,0
2025-01-26,Google Ads,Google Ads,Search | Drywall Repair,41.83,97,8,0
2025-01-26,Google Ads,Google Ads,Search | Minor Remodeling,160.56,289,16,1
2025-01-26,Meta,Facebook Ads,Meta | Home Refresh,266.75,5288,94,3
2025-01-26,Meta,Facebook Ads,Meta | Free Estimate,10.83,248,6,0
2025-01-27,Google Ads,Google Ads,Search | Interior Painting,180.77,446,28,2
2025-01-27,Google Ads,Google Ads,Search | Exterior Painting,66.71,165,9,0
2025-01-27,Google Ads,Google Ads,Search | Cabinet Painting,11.29,32,2,0
2025-01-27,Google Ads,Google Ads,Search | Drywall Repair,331.47,801,54,3
2025-01-27,Google Ads,Google Ads,Search | Minor Remodeling,536.62,1003,57,3
2025-01-27,Meta,Facebook Ads,Meta | Home Refresh,118.46,2494,37,1
2025-01-27,Meta,Facebook Ads,Meta | Free Estimate,153.32,3123,70,4
2025-01-28,Google Ads,Google Ads,Search | Interior Painting,251.18,469,32,1
2025-01-28,Google Ads,Google Ads,Search | Exterior Painting,136.25,244,17,1
2025-01-28,Google Ads,Google Ads,Search | Cabinet Painting,74.78,160,11,0
2025-01-28,Google Ads,Google Ads,Search | Drywall Repair,264.89,621,41,3
2025-01-28,Google Ads,Google Ads,Search | Minor Remodeling,8.27,20,1,0
2025-01-28,Meta,Facebook Ads,Meta | Home Refresh,375.15,7002,119,4
2025-01-28,Meta,Facebook Ads,Meta | Free Estimate,8.15,180,4,0
2025-01-29,Google Ads,Google Ads,Search | Interior Painting,267.39,478,32,2
2025-01-29,Google Ads,Google Ads,Search | Exterior Painting,382.54,917,55,2
2025-01-29,Google Ads,Google Ads,Search | Cabinet Painting,118.16,299,19,1
2025-01-29,Google Ads,Google Ads,Search | Drywall Repair,59.1,133,9,0
2025-01-29,Google Ads,Google Ads,Search | Minor Remodeling,123.68,261,13,1
2025-01-29,Meta,Facebook Ads,Meta | Home Refresh,86.7,1807,32,1
2025-01-29,Meta,Facebook Ads,Meta | Free Estimate,26.76,470,11,0
2025-01-30,Google Ads,Google Ads,Search | Interior Painting,106.58,201,15,1
2025-01-30,Google Ads,Google Ads,Search | Exterior Painting,356.28,576,37,2
2025-01-30,Google Ads,Google Ads,Search | Cabinet Painting,241.98,583,37,1
2025-01-30,Google Ads,Google Ads,Search | Drywall Repair,5.0,14,1,0
2025-01-30,Google Ads,Google Ads,Search | Minor Remodeling,266.09,604,29,2
2025-01-30,Meta,Facebook Ads,Meta | Home Refresh,184.05,3623,59,2
2025-01-30,Meta,Facebook Ads,Meta | Free Estimate,118.8,2934,57,2
2025-01-31,Google Ads,Google Ads,Search | Interior Painting,124.3,265,17,1
2025-01-31,Google Ads,Google Ads,Search | Exterior Painting,119.67,268,16,1
2025-01-31,Google Ads,Google Ads,Search | Cabinet Painting,18.64,44,3,0
2025-01-31,Google Ads,Google Ads,Search | Drywall Repair,112.46,346,23,0
2025-01-31,Google Ads,Google Ads,Search | Minor Remodeling,40.78,74,4,0
2025-01-31,Meta,Facebook Ads,Meta | Home Refresh,449.89,9487,152,7
2025-01-31,Meta,Facebook Ads,Meta | Free Estimate,40.15,946,19,0
2025-02-01,Google Ads,Google Ads,Search | Interior Painting,44.39,97,7,0
2025-02-01,Google Ads,Google Ads,Search | Exterior Painting,127.75,292,16,1
2025-02-01,Google Ads,Google Ads,Search | Cabinet Painting,6.39,14,1,0
2025-02-01,Google Ads,Google Ads,Search | Drywall Repair,45.73,135,9,0
2025-02-01,Google Ads,Google Ads,Search | Minor Remodeling,316.88,593,32,2
2025-02-01,Meta,Facebook Ads,Meta | Home Refresh,183.96,3866,68,1
2025-02-01,Meta,Facebook Ads,Meta | Free Estimate,61.66,1312,25,0
2025-02-02,Google Ads,Google Ads,Search | Interior Painting,221.55,557,35,1
2025-02-02,Google Ads,Google Ads,Search | Exterior Painting,31.72,71,4,0
2025-02-02,Google Ads,Google Ads,Search | Cabinet Painting,35.72,69,5,0
2025-02-02,Google Ads,Google Ads,Search | Drywall Repair,201.91,442,33,1
2025-02-02,Google Ads,Google Ads,Search | Minor Remodeling,31.93,74,4,0
2025-02-02,Meta,Facebook Ads,Meta | Home Refresh,28.76,618,10,0
2025-02-02,Meta,Facebook Ads,Meta | Free Estimate,30.41,892,17,0
2025-02-03,Google Ads,Google Ads,Search | Interior Painting,91.97,179,12,1
2025-02-03,Google Ads,Google Ads,Search | Exterior Painting,5.0,16,1,0
2025-02-03,Google Ads,Google Ads,Search | Cabinet Painting,23.24,45,3,0
2025-02-03,Google Ads,Google Ads,Search | Drywall Repair,41.83,133,9,0
2025-02-03,Google Ads,Google Ads,Search | Minor Remodeling,438.26,1025,50,4
2025-02-03,Meta,Facebook Ads,Meta | Home Refresh,157.07,3099,52,2
2025-02-03,Meta,Facebook Ads,Meta | Free Estimate,47.56,1039,22,0
2025-02-04,Google Ads,Google Ads,Search | Interior Painting,320.38,810,48,3
2025-02-04,Google Ads,Google Ads,Search | Exterior Painting,196.53,421,24,2
2025-02-04,Google Ads,Google Ads,Search | Cabinet Painting,34.74,82,5,0
2025-02-04,Google Ads,Google Ads,Search | Drywall Repair,10.29,26,2,0
2025-02-04,Google Ads,Google Ads,Search | Minor Remodeling,25.54,36,2,0
2025-02-04,Meta,Facebook Ads,Meta | Home Refresh,216.26,4501,73,2
2025-02-04,Meta,Facebook Ads,Meta | Free Estimate,180.91,4162,80,4
2025-02-05,Google Ads,Google Ads,Search | Interior Painting,126.45,378,20,1
2025-02-05,Google Ads,Google Ads,Search | Exterior Painting,43.61,95,6,0
2025-02-05,Google Ads,Google Ads,Search | Cabinet Painting,228.57,431,33,2
2025-02-05,Google Ads,Google Ads,Search | Drywall Repair,84.03,256,18,1
2025-02-05,Google Ads,Google Ads,Search | Minor Remodeling,55.53,123,6,0
2025-02-05,Meta,Facebook Ads,Meta | Home Refresh,76.44,1919,31,1
2025-02-05,Meta,Facebook Ads,Meta | Free Estimate,89.61,2040,40,1
2025-02-06,Google Ads,Google Ads,Search | Interior Painting,176.6,383,24,1
2025-02-06,Google Ads,Google Ads,Search | Exterior Painting,162.62,313,22,1
2025-02-06,Google Ads,Google Ads,Search | Cabinet Painting,15.65,29,2,0
2025-02-06,Google Ads,Google Ads,Search | Drywall Repair,119.69,282,22,1
2025-02-06,Google Ads,Google Ads,Search | Minor Remodeling,7.2,17,1,0
2025-02-06,Meta,Facebook Ads,Meta | Home Refresh,177.28,3352,63,5
2025-02-06,Meta,Facebook Ads,Meta | Free Estimate,81.69,2240,42,2
2025-02-07,Google Ads,Google Ads,Search | Interior Painting,202.5,410,30,2
2025-02-07,Google Ads,Google Ads,Search | Exterior Painting,140.06,303,17,1
2025-02-07,Google Ads,Google Ads,Search | Cabinet Painting,11.51,14,1,0
2025-02-07,Google Ads,Google Ads,Search | Drywall Repair,29.14,66,5,0
2025-02-07,Google Ads,Google Ads,Search | Minor Remodeling,175.25,436,21,1
2025-02-07,Meta,Facebook Ads,Meta | Home Refresh,168.15,4216,78,5
2025-02-07,Meta,Facebook Ads,Meta | Free Estimate,79.52,1839,40,2
2025-02-08,Google Ads,Google Ads,Search | Interior Painting,96.43,155,12,1
2025-02-08,Google Ads,Google Ads,Search | Exterior Painting,129.01,224,14,1
2025-02-08,Google Ads,Google Ads,Search | Cabinet Painting,106.65,222,15,1
2025-02-08,Google Ads,Google Ads,Search | Drywall Repair,25.58,50,4,0
2025-02-08,Google Ads,Google Ads,Search | Minor Remodeling,36.79,75,4,0
2025-02-08,Meta,Facebook Ads,Meta | Home Refresh,30.56,615,11,0
2025-02-08,Meta,Facebook Ads,Meta | Free Estimate,29.26,656,14,0
2025-02-09,Google Ads,Google Ads,Search | Interior Painting,159.86,354,22,2
2025-02-09,Google Ads,Google Ads,Search | Exterior Painting,29.55,70,4,0
2025-02-09,Google Ads,Google Ads,Search | Cabinet Painting,5.89,16,1,0
2025-02-09,Google Ads,Google Ads,Search | Drywall Repair,12.67,41,3,0
2025-02-09,Google Ads,Google Ads,Search | Minor Remodeling,19.77,35,2,0
2025-02-09,Meta,Facebook Ads,Meta | Home Refresh,54.3,1360,22,0
2025-02-09,Meta,Facebook Ads,Meta | Free Estimate,50.09,926,22,1
2025-02-10,Google Ads,Google Ads,Search | Interior Painting,97.48,196,15,2
2025-02-10,Google Ads,Google Ads,Search | Exterior Painting,161.03,262,18,1
2025-02-10,Google Ads,Google Ads,Search | Cabinet Painting,17.59,45,3,0
2025-02-10,Google Ads,Google Ads,Search | Drywall Repair,74.28,177,13,1
2025-02-10,Google Ads,Google Ads,Search | Minor Remodeling,50.52,88,5,0
2025-02-10,Meta,Facebook Ads,Meta | Home Refresh,97.77,2110,34,1
2025-02-10,Meta,Facebook Ads,Meta | Free Estimate,344.29,7167,158,4
2025-02-11,Google Ads,Google Ads,Search | Interior Painting,6.64,17,1,0
2025-02-11,Google Ads,Google Ads,Search | Exterior Painting,160.86,333,20,1
2025-02-11,Google Ads,Google Ads,Search | Cabinet Painting,5.0,16,1,0
2025-02-11,Google Ads,Google Ads,Search | Drywall Repair,111.17,287,20,2
2025-02-11,Google Ads,Google Ads,Search | Minor Remodeling,142.59,326,17,1
2025-02-11,Meta,Facebook Ads,Meta | Home Refresh,10.94,249,4,0
2025-02-11,Meta,Facebook Ads,Meta | Free Estimate,5.0,97,2,0
2025-02-12,Google Ads,Google Ads,Search | Interior Painting,84.41,172,12,1
2025-02-12,Google Ads,Google Ads,Search | Exterior Painting,19.45,64,3,0
2025-02-12,Google Ads,Google Ads,Search | Cabinet Painting,229.63,592,37,2
2025-02-12,Google Ads,Google Ads,Search | Drywall Repair,13.13,45,3,0
2025-02-12,Google Ads,Google Ads,Search | Minor Remodeling,20.95,36,2,0
2025-02-12,Meta,Facebook Ads,Meta | Home Refresh,6.03,112,2,0
2025-02-12,Meta,Facebook Ads,Meta | Free Estimate,155.6,2438,58,2
2025-02-13,Google Ads,Google Ads,Search | Interior Painting,134.5,253,16,2
2025-02-13,Google Ads,Google Ads,Search | Exterior Painting,100.31,248,15,1
2025-02-13,Google Ads,Google Ads,Search | Cabinet Painting,471.21,1079,76,3
2025-02-13,Google Ads,Google Ads,Search | Drywall Repair,32.56,109,7,0
2025-02-13,Google Ads,Google Ads,Search | Minor Remodeling,140.97,215,14,2
2025-02-13,Meta,Facebook Ads,Meta | Home Refresh,209.87,4732,84,2
2025-02-13,Meta,Facebook Ads,Meta | Free Estimate,5.0,122,3,0
2025-02-14,Google Ads,Google Ads,Search | Interior Painting,203.78,417,26,2
2025-02-14,Google Ads,Google Ads,Search | Exterior Painting,102.86,232,13,0
2025-02-14,Google Ads,Google Ads,Search | Cabinet Painting,11.61,15,1,0
2025-02-14,Google Ads,Google Ads,Search | Drywall Repair,92.01,258,16,1
2025-02-14,Google Ads,Google Ads,Search | Minor Remodeling,101.84,161,9,1
2025-02-14,Meta,Facebook Ads,Meta | Home Refresh,63.7,1430,24,2
2025-02-14,Meta,Facebook Ads,Meta | Free Estimate,218.65,5495,109,4
2025-02-15,Google Ads,Google Ads,Search | Interior Painting,233.02,485,32,2
2025-02-15,Google Ads,Google Ads,Search | Exterior Painting,287.37,518,34,2
2025-02-15,Google Ads,Google Ads,Search | Cabinet Painting,5.0,14,1,0
2025-02-15,Google Ads,Google Ads,Search | Drywall Repair,102.91,260,16,1
2025-02-15,Google Ads,Google Ads,Search | Minor Remodeling,125.61,263,15,0
2025-02-15,Meta,Facebook Ads,Meta | Home Refresh,5.0,103,2,0
2025-02-15,Meta,Facebook Ads,Meta | Free Estimate,65.18,1124,29,1
2025-02-16,Google Ads,Google Ads,Search | Interior Painting,16.65,29,2,0
2025-02-16,Google Ads,Google Ads,Search | Exterior Painting,425.44,912,47,2
2025-02-16,Google Ads,Google Ads,Search | Cabinet Painting,6.48,16,1,0
2025-02-16,Google Ads,Google Ads,Search | Drywall Repair,72.63,239,17,1
2025-02-16,Google Ads,Google Ads,Search | Minor Remodeling,20.56,36,2,0
2025-02-16,Meta,Facebook Ads,Meta | Home Refresh,95.96,1724,32,1
2025-02-16,Meta,Facebook Ads,Meta | Free Estimate,39.62,999,20,0
2025-02-17,Google Ads,Google Ads,Search | Interior Painting,5.0,16,1,0
2025-02-17,Google Ads,Google Ads,Search | Exterior Painting,161.15,344,22,0
2025-02-17,Google Ads,Google Ads,Search | Cabinet Painting,218.79,447,34,2
2025-02-17,Google Ads,Google Ads,Search | Drywall Repair,9.29,29,2,0
2025-02-17,Google Ads,Google Ads,Search | Minor Remodeling,22.52,51,3,0
2025-02-17,Meta,Facebook Ads,Meta | Home Refresh,68.2,1435,24,1
2025-02-17,Meta,Facebook Ads,Meta | Free Estimate,64.44,1210,29,1
2025-02-18,Google Ads,Google Ads,Search | Interior Painting,5.0,15,1,0
2025-02-18,Google Ads,Google Ads,Search | Exterior Painting,6.84,18,1,0
2025-02-18,Google Ads,Google Ads,Search | Cabinet Painting,33.03,70,5,0
2025-02-18,Google Ads,Google Ads,Search | Drywall Repair,5.0,13,1,0
2025-02-18,Google Ads,Google Ads,Search | Minor Remodeling,18.11,37,2,0
2025-02-18,Meta,Facebook Ads,Meta | Home Refresh,98.09,2120,37,1
2025-02-18,Meta,Facebook Ads,Meta | Free Estimate,13.89,356,7,0
2025-02-19,Google Ads,Google Ads,Search | Interior Painting,238.03,452,29,2
